field,ID,RA,DEC,z_peak,z_a,z_ml,z_spec,Prob_gt_6,Prob_gt_7,Prob_gt_8,Prob_gt_9,chi_a,nfilt,clean_lw_bands,tag_low_prob,tag_spec_conflict,tag_low_red_coverage,tag_lowz_competitive
GOODS-N,1041924,189.35544,62.160908,7.010000228881836,7.010000228881836,7.0143351554870605,-9999.0,1.0000001192092896,0.8005284667015076,5.227552865755689e-21,2.76858276197568e-23,10.405620574951172,14,6,0,0,0,0
GOODS-N,1041939,189.22162,62.16101,7.590000152587891,7.590000152587891,7.58986234664917,-9999.0,1.0,0.9999592900276184,0.0031936217565089464,2.9713462481595343e-06,6.536602020263672,14,6,0,0,0,0
GOODS-N,1042080,189.22911,62.16144,8.930000305175781,8.930000305175781,8.931502342224121,-9999.0,0.9999998211860657,0.9999998211860657,0.9999998807907104,0.4498598575592041,17.911962509155273,14,6,0,0,0,0
GOODS-N,1042145,189.20807,62.161636,6.599999904632568,6.599999904632568,6.596540927886963,-9999.0,1.0,0.00025301988353021443,0.00023753258574288338,9.824919106904417e-05,22.515661239624023,14,6,0,0,0,0
GOODS-N,1042281,189.24979,62.162,7.03000020980835,7.03000020980835,7.026699542999268,-9999.0,0.9996534585952759,0.6748702526092529,0.019471848383545876,3.1603740353602916e-05,10.218708038330078,14,6,0,0,0,0
GOODS-N,1042332,189.29213,62.162132,7.0,7.0,7.004333019256592,-9999.0,0.8660007119178772,0.6836544871330261,0.026337187737226486,0.0038972620386630297,2.427121639251709,14,6,0,0,0,0
GOODS-N,1042374,189.2837,62.16227,7.010000228881836,7.010000228881836,7.006142616271973,-9999.0,1.0000001192092896,0.6989108324050903,3.359293791321765e-18,1.046198570932106e-20,11.828176498413086,14,6,0,0,0,0
GOODS-N,1042388,189.31207,62.16227,7.320000171661377,7.320000171661377,7.315188884735107,-9999.0,0.9999741911888123,0.9913605451583862,0.07152978330850601,0.0003346051671542227,9.315442085266113,14,6,0,0,0,0
GOODS-N,1042497,189.30838,62.1626,7.369999885559082,7.369999885559082,7.370298862457275,-9999.0,0.9999999403953552,0.9999999403953552,3.505325083842489e-18,1.4670492450089766e-20,18.91897201538086,14,6,0,0,0,0
GOODS-N,1042520,189.21294,62.162697,6.570000171661377,6.570000171661377,6.568241596221924,-9999.0,1.0,4.40252501121563e-09,4.295783284646859e-09,3.537934167852086e-09,25.241254806518555,14,6,0,0,0,0
GOODS-N,1042541,189.20245,62.162746,7.400000095367432,7.400000095367432,7.402256965637207,-9999.0,1.0,0.9999998211860657,1.0232615400623465e-15,9.462713273546142e-16,6.051359176635742,14,6,0,0,0,0
GOODS-N,1042550,189.32164,62.162754,7.420000076293945,7.420000076293945,7.418571472167969,-9999.0,1.0,0.9999999403953552,2.8242843086445646e-07,1.9204298253635427e-13,24.798233032226562,14,6,0,0,0,0
GOODS-N,1042688,189.33041,62.163128,6.619999885559082,6.619999885559082,6.620291233062744,-9999.0,0.9999998807907104,4.3852538245646444e-13,4.527327067383423e-14,4.521560128265337e-14,12.650901794433594,14,6,0,0,0,0
GOODS-N,1042722,189.21063,62.163303,6.619999885559082,6.619999885559082,6.623631477355957,-9999.0,0.9999999403953552,1.4635419987030218e-08,5.76273967781149e-12,1.4550001625084942e-14,6.262391090393066,14,6,0,0,0,0
GOODS-N,1042869,189.37009,62.163643,6.160000324249268,6.160000324249268,6.1545610427856445,-9999.0,0.9553868174552917,1.5362061622781198e-10,2.5745440024344353e-24,2.828921843298624e-27,6.829077243804932,11,3,0,0,0,0
GOODS-N,1042929,189.35481,62.16382,6.300000190734863,6.300000190734863,6.302013874053955,-9999.0,0.8214780688285828,3.847023890557466e-07,1.3413167798681513e-10,5.926964214558739e-12,6.40108060836792,14,6,0,0,0,0
GOODS-N,1042943,189.27948,62.16389,7.289999961853027,7.289999961853027,7.290241718292236,-9999.0,0.9979416131973267,0.9394853711128235,0.21232953667640686,0.004143488593399525,9.240598678588867,14,6,0,0,0,0
GOODS-N,1042966,189.25424,62.163963,9.220000267028809,9.220000267028809,9.221001625061035,-9999.0,0.9999773502349854,0.9999772310256958,0.9995443224906921,0.8100113272666931,9.76162338256836,14,6,0,0,0,0
GOODS-N,1043016,189.19812,62.16413,7.240000247955322,7.240000247955322,7.242963790893555,-9999.0,0.9853758215904236,0.9771804213523865,0.000458677503047511,0.0003401189169380814,10.082706451416016,14,6,0,0,0,0
GOODS-N,1043023,189.25471,62.16415,7.440000057220459,7.440000057220459,7.438603401184082,-9999.0,0.9995594024658203,0.9919986128807068,0.45881691575050354,0.043050311505794525,8.467270851135254,14,6,0,0,0,0
GOODS-N,1043264,189.29056,62.164845,8.369999885559082,8.369999885559082,8.366710662841797,-9999.0,0.9997715950012207,0.9987314939498901,0.6567073464393616,0.08296152949333191,13.11623477935791,14,6,0,0,0,0
GOODS-N,1043330,189.23091,62.16507,11.789999961853027,11.789999961853027,11.784297943115234,-9999.0,0.9999886155128479,0.9999884963035583,0.9999883770942688,0.9999882578849792,3.8215198516845703,14,6,0,0,0,0
GOODS-N,1043381,189.3374,62.165157,6.880000114440918,6.880000114440918,6.877408504486084,-9999.0,0.9014398455619812,0.2550486624240875,0.052887264639139175,0.0023749899119138718,4.04227876663208,14,6,0,0,0,0
GOODS-N,1043588,189.25784,62.1658,9.380000114440918,9.380000114440918,9.377236366271973,-9999.0,0.9996532797813416,0.9996532797813416,0.9996510148048401,0.9723526239395142,10.365398406982422,14,6,0,0,0,0
GOODS-N,1043680,189.21138,62.16605,6.659999847412109,6.659999847412109,6.661037921905518,-9999.0,0.9999750256538391,2.878426585084526e-06,2.425938573288877e-12,2.279577622586043e-13,13.76736068725586,14,6,0,0,0,0
GOODS-N,1043856,189.34225,62.16651,8.390000343322754,8.390000343322754,8.393320083618164,-9999.0,0.9997870922088623,0.999133288860321,0.8328334093093872,0.1325545459985733,4.973466396331787,14,6,0,0,0,0
